product_id,product_name,brand,type,price,avg_star,num_sold_time
92,Sữa rửa mặt BIOAQUA vị đào tạo bọt nhẹ nhàng làm sạch dưỡng Ẩm và làm trắng 100gr,BioAQUA,dạng kem,19000.0,5.0,50
93,"Sữa Rửa Mặt Làm Sạch Sâu Chiết Xuất Xương Rồng Huxley CleansingFoam Deep Clean,Deep Moist100g",Huxley (헉슬리),no_type,293000.0,4.9,984
94,"(CHÍNH HÃNG)SỮA RỬA MẶT DÀNH CHO DA DẦU, MỤN– LALISSE OIL-CONTROL CLEANSER",no_brand,dạng lỏng,310000.0,4.9,471
95,SỮA RỬA MẶT LA ROCHE POSAY CHÍNH HÃNG 100%,La Roche-Posay,dạng sánh,224000.0,5.0,515
96,Sữa Rửa Mặt Tẩy Tế Bào Chết Ngừa Mụn St.Ives 170g,no_brand,no_type,76000.0,4.9,65
97,Sữa rửa mặt gạo Civic Rice milk Thái Lan,no_brand,no_type,21999.0,4.9,4000
98,Acnes Foaming Wash – Dung dịch tạo bọt ngăn ngừa mụn 150ml,Acnes,dạng xịt,65000.0,5.0,764
99,"Sữa Rửa Mặt Cosrx Low PH Good Morning Gel Cleanser, SRM COSRX Dạng Gel Chiết Từ Dầu Cây Trà "" OAM OFFICIAL""",COSRX,dạng gel,110000.0,4.9,49200
100,[Mã COSACD6 giảm 10% đơn 400K] Sữa rửa mặt giúp làm sạch sâu dành cho da dầu Cerave Foaming Facial Cleans 236ML,CeraVe,dạng sánh,285000.0,4.9,6700
101,Sữa rửa mặt nam RHYS MAN hương dừa thơm mát Rhys Coconut Fresh 100ml,RHYS MAN,dạng sánh,99000.0,4.9,2100
102,Smoothie Tẩy Da Chết Dove Chăm Da Sáng Mịn 298g [CHÍNH HÃNG ĐỘC QUYỀN],Dove,no_type,182000.0,4.9,8300
103,Sữa rửa mặt KUMANO Hatomugi 130g dưỡng ẩm trắng da chiết xuất hạt ý dĩ Nhật - KONNI39,KUMANO,dạng kem,52000.0,5.0,4600
104,"Gel Sữa Rửa Mặt Tràm Trà, 0.5% BHA COSRX Low pH Good Morning Gel Cleanser 50ml",no_brand,dạng lỏng,48000.0,5.0,1300
105,Combo 2 tuýp Gel rửa mặt ngừa mụn Hazeline Matcha Tràm Trà 100g,no_brand,no_type,93000.0,4.8,719
106,Sữa rửa mặt BREYLEE cải thiện da mụn đầu đen kiềm dầu làm sạch da 100g,BREYLEE,dạng kem,159600.0,4.9,22700
107,[XẢ KHO] Sữa rửa mặt Whoo vàng hoàng cung 40ml,no_brand,no_type,67000.0,5.0,4100
108,Sữa Rửa Mặt Cosrx Low pH Good Morning Gel Cleanser 150ml Chính Hãng,COSRX,dạng lỏng,135000.0,5.0,25300
109,Sữa rửa mặt Simple dịu nhẹ,no_brand,no_type,32000.0,5.0,87
110,"Sữa rửa mặt La Roche-Posay Effaclar chuyên dành cho da dầu, mụn, nhạy cảm date mới",La Roche-Posay,dạng gel,210000.0,5.0,190
111,Sữa rửa mặt cetaphil gentle skin cleanser dành cho mặt và body 29ml (hàng test),Cetaphil,no_type,30000.0,4.9,762
112,Sữa rửa mặt trà xanh The Body Shop Tea Tree,THE BODY SHOP,no_type,239000.0,5.0,512
113,Sữa Rửa Mặt Dr.Pepti Galacto Cleansing Foam,Dr.Pepti+,no_type,135000.0,5.0,1300
114,Sữa Rửa Mặt BYVIBES WONDER BATH PHA 5.5,BYVIBES WONDER BATH,dạng lỏng,133000.0,5.0,649
115,Sữa rửa mặt Bơ thái chuẩn,no_brand,no_type,29000.0,4.9,250
116,Sữa Rửa Mặt Chiết Xuất Từ Trà Xanh Innisfree Green Tea Foam Cleanser mẫu mới,no_brand,no_type,90000.0,4.5,29
117,"SỮA rửa mặt OXY có hạt làm sạch sâu, đánh bay nhờn, tút sáng da,cực mát 100G",Oxy,dạng kem,62725.0,4.9,2200
118,Sửa rửa mặt đông y gia truyền 100gr,no_brand,no_type,22000.0,4.7,275
119,Combo nước tẩy trang + sữa rửa mặt Trà Xanh,no_brand,no_type,75000.0,5.0,41
120,SỬA RỬA MẶT INNIS TRÀ XANH,no_brand,no_type,19999.5,4.8,338
121,Sữa Rửa Mặt 3W Clinic Mẫu Mới Hot,no_brand,no_type,21900.0,4.9,241
122,Sữa rửa mặt Simple giúp da sạch thoáng & không chứa xà phòng 150ml,simple,khác,89000.0,4.9,1200
123,"Sữa rửa mặt_MH Beauty Spa 120ml, ngăn ngừa mụn và nám_CHÍNH HÃNG [HH013]",MH BEAUTY SPA,dạng lỏng,102000.0,4.9,66
124,Sữa rửa mặt trà xanh INF 150ml mẫu mới,no_brand,no_type,25000.0,4.5,536
125,"[ 100% Korea] Sửa rửa mặt 3w clinic trà xanh / Gạo 100ml sáng da , hỗ trợ giảm và ngăn ngừa mụn",3W CLINIC,dạng lỏng,17500.0,5.0,2500
126,Sữa rửa mặt Hazeline Chiết Xuất Thiên Nhiên 15gr,HAZELINE,no_type,8000.0,4.5,226
127,Sữa Rửa Mặt Hazeline Dưỡng Ẩm Sáng 50g,HAZELINE,no_type,24000.0,4.7,135
128,Sữa Rửa Mặt Cosrx Low Ph 150ml,no_brand,no_type,24000.0,4.8,367
129,SỮA RỬA MẶT TRẮNG Da Gạo The Face Shop Rice Water Bright,no_brand,no_type,113000.0,4.9,530
130,Sữa rửa mặt gạo Civic rice milk Thái Lan chính hãng,no_brand,no_type,23000.0,4.8,425
131,Sữa Rửa Mặt Nhau Thai Cừu Tế Bào Gốc Cuống Rốn Nhật Bản 130ml,no_brand,no_type,28000.0,4.8,331
132,Sữa rửa mặt 3W Clinic 100ml Collagen/Trà xanh/Hoa hồng/Gạo/Than,3W CLINIC,dạng sánh,22500.0,5.0,1500
133,Sữa Rửa Mặt 3W Clinic Mẫu Mới,3W CLINIC,no_type,22000.0,4.9,616
134,"Sữa rửa mặt tro núi lửa Jeju volcanic pore cleasing foam 150ml sạch da, giảm mụn hiệu quả",Innisfree,dạng sánh,95000.0,4.7,662
135,(FullTem)Sữa Rửa Mặt La Roche-Posay Effaclar Gel Moussant Purifiant (400ml),La Roche-Posay,dạng lỏng,310000.0,5.0,110
136,Sữa Rửa Mặt Tạo Bọt Rau Má an Toàn Cho Da,no_brand,no_type,23040.0,4.8,92
137,Sữa rửa mặt tạo bọt Senka Perfect whip MẪU MỚI,no_brand,dạng lỏng,35000.0,4.6,475
138,Sữa Rửa Mặt Hatomugi,HATOMUGI,dạng kem,52785.0,4.9,270
139,Sữa rửa mặt gạo Civic Rice milk Thái Lan 180ml,Civic,no_type,21000.0,4.9,3000
