shopid,is_shopee_verified,is_preferred_plus_seller,is_official_shop,item_count,rating_star,follower_count,show_official_shop_label,rating_bad,rating_good,rating_normal
866,True,False,False,85,4.911011,6198,False,12,2097,31
867,True,True,False,190,4.933197,1185,False,8,1966,23
868,True,True,False,188,4.958716,8528,False,18,6568,37
869,False,False,True,374,4.921561,142480,True,14,2545,39
870,True,False,False,255,4.963398,16828,False,14,10102,66
871,True,False,False,627,4.913595,14173,False,221,35860,531
872,True,False,False,538,4.977305,15825,False,6,5802,19
873,False,False,False,274,4.983505,6095,False,4,3535,6
874,False,False,True,46,4.912718,4483,True,6,1207,19
875,False,False,False,704,4.852959,91462,False,722,52664,1243
876,True,False,False,70,4.966245,703,False,0,735,5
877,False,False,False,322,4.921696,1103,False,34,5465,66
878,False,False,True,147,4.96792,10864,True,2,928,5
879,False,False,False,391,4.946048,1033,False,19,5443,49
880,True,False,False,82,4.947012,15057,False,8,4090,32
881,True,True,False,971,4.97478,23073,False,26,12806,46
882,True,False,False,775,4.955089,130902,False,189,104850,822
884,True,True,False,174,4.959973,57307,False,60,25163,146
885,True,False,False,437,4.953322,79081,False,69,21693,167
886,True,True,False,253,4.9499,61044,False,76,31296,269
887,True,False,False,2314,4.834856,9699,False,307,18503,523
888,False,False,True,562,4.94747,384302,True,374,103929,862
889,False,False,True,57,4.948158,4945,True,3,755,6
890,False,False,False,44,4.940095,756,False,5,1481,16
891,False,False,False,131,4.954806,13617,False,5,1393,9
892,True,False,False,1808,4.888331,22822,False,208,16376,246
893,True,False,False,283,4.926782,1645,False,4,516,4
894,True,False,False,779,4.941794,203638,False,670,165595,1479
895,False,False,False,124,4.942289,6361,False,8,2112,21
896,True,False,False,314,4.909863,1596,False,37,4049,54
897,True,False,False,362,4.892172,16628,False,91,11073,218
898,True,False,False,631,4.970346,10568,False,33,14950,72
899,True,False,False,510,4.917272,17495,False,89,13391,155
900,False,False,False,61,4.885781,661,False,8,418,5
901,True,False,False,2126,4.72406,34584,False,950,23907,903
902,False,False,False,113,4.941569,1715,False,5,1199,8
903,False,False,False,202,4.952872,3884,False,22,7551,54
904,False,False,False,222,4.942114,1714,False,4,1210,9
905,False,False,True,43,4.93835,1383,True,2,1096,19
906,True,False,False,84,4.918929,1846,False,23,5588,83
